districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,586,3693,15.867858109937721,2585,39247,6.586490687186282,232.30945697336628,2765.510130668057,8.400238870838917
Ciutat_Vella,110,566,19.434628975265017,314,3420,9.181286549707602,24.948717692314446,172.56618087357538,14.457478033075471
Eixample,74,155,47.74193548387097,615,4835,12.719751809720787,53.37730669338861,258.45016527189074,20.652842932886287
Sants_Montjuic,48,512,9.375,225,5879,3.827181493451267,20.420227040957858,431.7524845930738,4.729614251138334
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,73,578,12.629757785467127,258,5270,4.895635673624288,23.00510268075241,473.2286109254309,4.8613084986058555
Gracia,156,357,43.69747899159664,602,2158,27.89620018535681,43.80959264573232,145.5960676792582,30.08981859471847
Horta_Guinardo,116,476,24.369747899159663,481,4447,10.816280638632787,40.96602164631332,356.30692427083744,11.497397006849653
Nou_Barris,38,356,10.674157303370785,151,2985,5.058626465661641,12.995482276689362,242.70164873752972,5.354509268597247
Sant_Andreu,44,324,13.580246913580247,212,2880,7.361111111111112,19.32203075237558,194.81164581088345,9.918314006305739
Sant_Marti,72,355,20.281690140845072,376,5165,7.2797676669893505,36.32572494807934,327.1930545965878,11.10222984191003
