districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,547,3693,14.811806119685892,2374,39247,6.048869977323108,215.4707846991034,2765.510130668057,7.791357634515434
Ciutat_Vella,110,566,19.434628975265017,314,3420,9.181286549707602,24.948717692314446,172.56618087357538,14.457478033075471
Eixample,73,155,47.096774193548384,609,4835,12.595656670113753,53.176602874022024,258.45016527189074,20.575186252281945
Sants_Montjuic,48,512,9.375,225,5879,3.827181493451267,20.420227040957858,431.7524845930738,4.729614251138334
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,73,578,12.629757785467127,258,5270,4.895635673624288,23.00510268075241,473.2286109254309,4.8613084986058555
Gracia,152,357,42.57703081232493,582,2158,26.969416126042635,42.08432507007868,145.5960676792582,28.90485006970697
Horta_Guinardo,100,476,21.008403361344538,423,4447,9.512030582415111,37.08587159859601,356.30692427083744,10.408406088231434
Nou_Barris,38,356,10.674157303370785,150,2985,5.025125628140704,12.980109644014505,242.70164873752972,5.3481753055793515
Sant_Andreu,39,324,12.037037037037036,168,2880,5.833333333333333,16.35134266810609,194.81164581088345,8.393411287115462
Sant_Marti,51,355,14.366197183098592,273,5165,5.285575992255566,27.60932457038819,327.1930545965878,8.438236748157465
