districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,830,3695,22.46278755074425,4184,28583,14.63807158100969,357.09357777737864,1979.0021367957695,18.044122901026977
Ciutat_Vella,110,566,19.434628975265017,286,2374,12.047177759056444,25.882960303154455,121.06695157036005,21.379046855831792
Eixample,117,156,75.0,1219,4010,30.399002493765586,105.24379458694176,224.64177560734953,46.84960947375032
Sants_Montjuic,88,512,17.1875,322,4154,7.751564756860857,23.694585311354295,300.1012632172371,7.895530014547882
Les_Corts,88,241,36.51452282157676,363,1814,20.011025358324144,31.912044540152507,124.02458958115528,25.730417369590175
Sarria_Sant_Gervasi,145,578,25.08650519031142,688,3548,19.39120631341601,49.90905794357445,297.3283400630804,16.78583949750161
Gracia,220,357,61.62464985994398,925,1671,55.356074207061646,64.02512018451394,112.35069972633644,56.986845956870916
Horta_Guinardo,64,476,13.445378151260504,246,3010,8.172757475083056,20.500266839696916,238.89499886961826,8.58128756847076
Nou_Barris,34,356,9.550561797752808,135,2164,6.238447319778189,18.00347309101025,169.63296802504587,10.61319229429039
Sant_Andreu,36,325,11.076923076923077,156,2232,6.989247311827956,15.789840227574011,150.1099557177492,10.518849434119845
Sant_Marti,118,355,33.23943661971831,542,3932,13.784333672431332,52.23173216035234,257.00163872662773,20.323501600669232
